task_id,task_name,video_id,transition_id,seg_pos,next_seg_pos,step_idx,action_id,action,state_change,next_step_idx,next_action_id,next_action,next_state_change,action_start,action_end,next_action_start,next_action_end,roi_start,roi_end,canonical_order,next_canonical_order,is_canonical_next,is_time_ordered,task_goal,remaining_plan,plan_progress
0,UseAnalyticalBalance,-8NaVGEccgc,0_-8NaVGEccgc_0,0,1,1,65,clean inner wall of container,Inner wall of container is now cleaned.,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,9.0,16.0,22.0,31.0,6.548193874754826,57.99825973085562,1,2,True,True,Complete the task: Use Analytical Balance.,place a piece of paper on weighing pan -> zeroing set -> place weighing sample on weighing pan and read,0.25
0,UseAnalyticalBalance,-8NaVGEccgc,0_-8NaVGEccgc_1,1,2,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,22.0,31.0,48.0,50.0,6.548193874754826,57.99825973085562,2,4,True,True,Complete the task: Use Analytical Balance.,zeroing set -> place weighing sample on weighing pan and read,0.5
0,UseAnalyticalBalance,-Kw5jzhp_S0,0_-Kw5jzhp_S0_0,0,1,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,49.0,59.0,60.0,67.0,36.639504277391794,127.2219162735977,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,-Kw5jzhp_S0,0_-Kw5jzhp_S0_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,60.0,67.0,72.0,108.0,36.639504277391794,127.2219162735977,3,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,-Kw5jzhp_S0,0_-Kw5jzhp_S0_2,2,3,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,3,67,zeroing set,The state changes: zeroing set is performed.,72.0,108.0,117.0,122.0,36.639504277391794,127.2219162735977,4,3,False,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,-Tiv4Ua1rFQ,0_-Tiv4Ua1rFQ_0,0,1,3,67,zeroing set,The state changes: zeroing set is performed.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,0.0,29.0,30.0,70.0,0.0,163.096667,3,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,-Tiv4Ua1rFQ,0_-Tiv4Ua1rFQ_1,1,2,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,30.0,70.0,87.0,157.0,0.0,163.096667,4,4,True,True,Complete the task: Use Analytical Balance.,(task complete),1.0
0,UseAnalyticalBalance,-aOIRnd7Mvs,0_-aOIRnd7Mvs_0,0,1,1,65,clean inner wall of container,Inner wall of container is now cleaned.,3,67,zeroing set,The state changes: zeroing set is performed.,25.0,28.0,29.0,31.0,16.366676247927064,144.97604448217174,1,3,True,True,Complete the task: Use Analytical Balance.,place a piece of paper on weighing pan -> zeroing set -> place weighing sample on weighing pan and read,0.25
0,UseAnalyticalBalance,-aOIRnd7Mvs,0_-aOIRnd7Mvs_1,1,2,3,67,zeroing set,The state changes: zeroing set is performed.,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,29.0,31.0,32.0,39.0,16.366676247927064,144.97604448217174,3,2,False,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
0,UseAnalyticalBalance,-aOIRnd7Mvs,0_-aOIRnd7Mvs_2,2,3,2,66,place a piece of paper on weighing pan,A piece of paper on weighing pan is now placed in position.,4,68,place weighing sample on weighing pan and read,Weighing sample on weighing pan and read is now placed in position.,32.0,39.0,64.0,91.0,16.366676247927064,144.97604448217174,2,4,True,True,Complete the task: Use Analytical Balance.,place weighing sample on weighing pan and read,0.75
