source,task_id,task_name,split,n_videos,n_canonical_steps,train_token_coverage
coin,0,UseAnalyticalBalance,train,87,4,1.0
coin,1,PasteCarSticker,test,97,5,0.8947
coin,2,AssembleBed,train,56,7,1.0
coin,3,AssembleSofa,train,71,7,1.0
coin,4,AssembleCabinet,train,45,3,1.0
coin,5,AssembleDesktopPC,train,51,5,1.0
coin,6,BandageDogPaw,val,40,3,0.8462
coin,7,ChangeBikeChain,train,66,6,1.0
coin,8,DrawBlood,train,43,4,1.0
coin,9,BlowSugar,test,44,3,0.9
coin,10,BoilNoodles,train,97,4,1.0
coin,11,PolishCar,train,76,4,1.0
coin,12,FuelCar,train,72,5,1.0
coin,13,ChangeCarTire,test,74,5,0.9375
coin,14,CarvePumpkin,train,70,6,1.0
coin,15,ChangeBatteryOfWatch,test,86,4,0.8333
coin,16,ChangeBikeTires,train,78,7,1.0
coin,17,ChangeGuitarStrings,train,88,4,1.0
coin,18,ChangeTonerCartridge,train,92,4,1.0
coin,19,CleanLaptopKeyboard,val,40,4,0.8
coin,20,CleanRustyPot,train,98,5,1.0
coin,21,CleanHamsterCage,train,74,5,1.0
coin,22,CleanFish,train,50,5,1.0
coin,23,CleanShrimp,train,69,4,1.0
coin,24,CleanToilet,train,56,5,1.0
coin,25,CleanBathtub,train,72,5,1.0
coin,26,CleanCementFloor,test,57,5,0.875
coin,27,CleanWoodenFloor,train,69,7,1.0
coin,28,CookOmelet,train,93,6,1.0
coin,29,PlayCurling,train,49,2,1.0
coin,30,CutMango,train,76,5,1.0
coin,31,CutAndRestoreRopeTrick,train,63,4,1.0
coin,32,CutCantaloupe,train,51,5,1.0
coin,33,CutGrapeFruit,train,87,4,1.0
coin,34,WashDish,train,40,5,1.0
coin,35,RaiseFlag,train,49,3,1.0
coin,36,GluePingPongRubber,train,40,6,1.0
coin,37,Graft,train,48,3,1.0
coin,38,ThrowHammer,train,40,3,1.0
coin,39,HangWallpaper,train,68,12,1.0
coin,40,BandageHead,train,47,3,1.0
coin,41,ArcWeld,train,42,4,1.0
coin,42,CleanLeatherSeat,train,47,3,1.0
coin,43,DoLinoPrinting,train,90,7,1.0
coin,44,DrillHole,train,42,3,1.0
coin,45,FixLaptopScreenScratches,test,40,3,0.8947
coin,46,LoadGreaseGun,train,40,7,1.0
coin,47,MakeFlowerCrown,train,103,3,1.0
coin,48,MakeFlowerPress,train,40,4,1.0
coin,49,MakeChocolate,train,46,4,1.0
coin,50,MakeCookie,train,46,4,1.0
coin,51,MakeHummus,train,46,4,1.0
coin,52,MakePaperEasterBaskets,train,61,3,1.0
coin,53,MakeYoutiao,val,41,7,0.875
coin,54,PatchBikeInnerTube,train,76,6,1.0
coin,55,RefillMechanicalPencils,train,46,3,1.0
coin,56,RemoveCrayonFromWalls,train,41,4,1.0
coin,57,ReplaceCarWindow,test,41,5,0.95
coin,58,ReplaceBatteryOnKeyToCar,test,46,4,0.9412
coin,59,ReplaceBatteryOnTVControl,val,41,4,0.8667
coin,60,UseNetiPot,train,46,5,1.0
coin,61,UseEpinephrineAuto-injector,train,52,3,1.0
coin,62,UseTripleBeamBalance,train,40,4,1.0
coin,63,UseVolumetricPipette,train,70,3,1.0
coin,64,WrapZongzi,train,47,4,1.0
coin,65,InstallAirConditioner,train,40,4,1.0
coin,66,InstallBicycleRack,train,99,4,1.0
coin,67,InstallCeilingFan,train,50,7,1.0
coin,68,InstallCeramicTile,train,79,6,1.0
coin,69,PasteScreenProtectorOnPad,val,72,5,0.8571
coin,70,InstallLicensePlateFrame,val,55,3,0.8462
coin,71,InstallShowerHead,train,88,3,1.0
coin,72,InstallClosestool,test,40,6,0.913
coin,73,InstallWoodFlooring,train,75,5,1.0
coin,74,InstallCurtain,train,40,4,1.0
