task_id,task_name,video_id,step_idx,action,state_change,next_step_idx,next_action,next_state_change,action_start,action_end,next_action_start,next_action_end,canonical_order,next_canonical_order,is_in_order,task_goal,remaining_plan,plan_progress
91515,Make Pancakes,BanqwWgLqt8,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,94.8,97.8,172.76,177.76,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,BanqwWgLqt8,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,172.76,177.76,186.01,187.41,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,BanqwWgLqt8,3,pour milk,Milk is now poured in.,6,pour mixture into pan,The mixture is now poured into the pan.,186.01,187.41,233.55,234.65,3,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,BanqwWgLqt8,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,233.55,234.65,239.31,240.71,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,BanqwWgLqt8,7,flip pancake,Pancake is now flipped over.,8,take pancake from pan,The pancake is now removed from the pan.,239.31,240.71,248.24,250.96,7,8,True,Complete the task: Make Pancakes.,take pancake from pan,0.625
91515,Make Pancakes,mrZ4iZxCdFk,1,add flour,Flour is now added to the mixture.,4,pour egg,Egg is now poured in.,20.21,21.91,21.86,23.72,1,4,True,Complete the task: Make Pancakes.,add sugar -> pour milk -> pour egg -> whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.125
91515,Make Pancakes,mrZ4iZxCdFk,4,pour egg,Egg is now poured in.,5,whisk mixture,Mixture is now whisked until smooth.,21.86,23.72,26.42,33.17,4,5,True,Complete the task: Make Pancakes.,whisk mixture -> pour mixture into pan -> flip pancake -> take pancake from pan,0.25
91515,Make Pancakes,mrZ4iZxCdFk,5,whisk mixture,Mixture is now whisked until smooth.,3,pour milk,Milk is now poured in.,26.42,33.17,26.71,28.41,5,3,False,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.375
91515,Make Pancakes,mrZ4iZxCdFk,3,pour milk,Milk is now poured in.,6,pour mixture into pan,The mixture is now poured into the pan.,26.71,28.41,46.21,54.57,3,6,True,Complete the task: Make Pancakes.,pour mixture into pan -> flip pancake -> take pancake from pan,0.5
91515,Make Pancakes,mrZ4iZxCdFk,6,pour mixture into pan,The mixture is now poured into the pan.,7,flip pancake,Pancake is now flipped over.,46.21,54.57,60.59,65.25,6,7,True,Complete the task: Make Pancakes.,flip pancake -> take pancake from pan,0.625
