condition_label,config,metric,best_run,best_value
goal_only,system1_critic_goal,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_only,system1_critic_goal,task_success,plm_coin2_8b_galore_grounded,0.0
goal_only,system1_critic_goal,ordered_ratio,plm_coin2_8b_galore_grounded,0.1439
goal_only,system1_critic_goal,step_f1,plm_coin2_8b_galore_grounded,0.1376
goal_only,system1_critic_goal,step_accuracy,plm_coin2_8b_galore_grounded,0.0565
goal_only,system1_greedy,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_only,system1_greedy,task_success,plm_coin2_8b_galore_grounded,0.0
goal_only,system1_greedy,ordered_ratio,plm_coin2_8b_galore_grounded,0.1312
goal_only,system1_greedy,step_f1,plm_coin2_8b_galore_grounded,0.1289
goal_only,system1_greedy,step_accuracy,plm_coin2_8b_galore_grounded,0.0417
goal_plus_interpretation,system1_critic_goal,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation,system1_critic_goal,task_success,plm_coin2_8b_galore_grounded,0.037
goal_plus_interpretation,system1_critic_goal,ordered_ratio,plm_coin2_8b_galore_grounded,0.4612
goal_plus_interpretation,system1_critic_goal,step_f1,plm_coin2_8b_galore_grounded,0.3956
goal_plus_interpretation,system1_critic_goal,step_accuracy,plm_coin2_8b_galore_grounded,0.2809
goal_plus_interpretation,system1_greedy,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation,system1_greedy,task_success,plm_coin2_8b_galore_grounded,0.037
goal_plus_interpretation,system1_greedy,ordered_ratio,plm_coin2_8b_galore_grounded,0.4538
goal_plus_interpretation,system1_greedy,step_f1,plm_coin2_8b_galore_grounded,0.3842
goal_plus_interpretation,system1_greedy,step_accuracy,plm_coin2_8b_galore_grounded,0.2513
goal_plus_interpretation_prefix@1,system1_critic_goal,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@1,system1_critic_goal,task_success,plm_coin2_8b_galore_grounded,0.1111
goal_plus_interpretation_prefix@1,system1_critic_goal,ordered_ratio,plm_coin2_8b_galore_grounded,0.3802
goal_plus_interpretation_prefix@1,system1_critic_goal,step_f1,plm_coin2_8b_galore_grounded,0.2869
goal_plus_interpretation_prefix@1,system1_critic_goal,step_accuracy,plm_coin2_8b_galore_grounded,0.1605
goal_plus_interpretation_prefix@1,system1_greedy,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@1,system1_greedy,task_success,plm_coin2_8b_galore_grounded,0.0741
goal_plus_interpretation_prefix@1,system1_greedy,ordered_ratio,plm_coin2_8b_galore_grounded,0.3235
goal_plus_interpretation_prefix@1,system1_greedy,step_f1,plm_coin2_8b_galore_grounded,0.2437
goal_plus_interpretation_prefix@1,system1_greedy,step_accuracy,plm_coin2_8b_galore_grounded,0.1333
goal_plus_interpretation_prefix@2,system1_critic_goal,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@2,system1_critic_goal,task_success,plm_coin2_8b_galore_grounded,0.1923
goal_plus_interpretation_prefix@2,system1_critic_goal,ordered_ratio,plm_coin2_8b_galore_grounded,0.3718
goal_plus_interpretation_prefix@2,system1_critic_goal,step_f1,plm_coin2_8b_galore_grounded,0.2647
goal_plus_interpretation_prefix@2,system1_critic_goal,step_accuracy,plm_coin2_8b_galore_grounded,0.149
goal_plus_interpretation_prefix@2,system1_greedy,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@2,system1_greedy,task_success,plm_coin2_8b_galore_grounded,0.1538
goal_plus_interpretation_prefix@2,system1_greedy,ordered_ratio,plm_coin2_8b_galore_grounded,0.3269
goal_plus_interpretation_prefix@2,system1_greedy,step_f1,plm_coin2_8b_galore_grounded,0.239
goal_plus_interpretation_prefix@2,system1_greedy,step_accuracy,plm_coin2_8b_galore_grounded,0.1298
goal_plus_interpretation_prefix@3,system1_critic_goal,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@3,system1_critic_goal,task_success,plm_coin2_8b_galore_grounded,0.35
goal_plus_interpretation_prefix@3,system1_critic_goal,ordered_ratio,plm_coin2_8b_galore_grounded,0.5375
goal_plus_interpretation_prefix@3,system1_critic_goal,step_f1,plm_coin2_8b_galore_grounded,0.3592
goal_plus_interpretation_prefix@3,system1_critic_goal,step_accuracy,plm_coin2_8b_galore_grounded,0.1975
goal_plus_interpretation_prefix@3,system1_greedy,exact_match,plm_coin2_8b_galore_grounded,0.0
goal_plus_interpretation_prefix@3,system1_greedy,task_success,plm_coin2_8b_galore_grounded,0.35
goal_plus_interpretation_prefix@3,system1_greedy,ordered_ratio,plm_coin2_8b_galore_grounded,0.525
goal_plus_interpretation_prefix@3,system1_greedy,step_f1,plm_coin2_8b_galore_grounded,0.3424
goal_plus_interpretation_prefix@3,system1_greedy,step_accuracy,plm_coin2_8b_galore_grounded,0.1947
