config,condition_family,condition_label,prefix_len,n_samples,n_tasks,n_videos,exact_match,exact_match_ci_low,exact_match_ci_high,task_success,task_success_ci_low,task_success_ci_high,ordered_ratio,ordered_ratio_ci_low,ordered_ratio_ci_high,step_precision,step_precision_ci_low,step_precision_ci_high,step_recall,step_recall_ci_low,step_recall_ci_high,step_f1,step_f1_ci_low,step_f1_ci_high,step_iou,step_iou_ci_low,step_iou_ci_high,step_accuracy,step_accuracy_ci_low,step_accuracy_ci_high,edit_similarity,edit_similarity_ci_low,edit_similarity_ci_high,pred_len,pred_len_ci_low,pred_len_ci_high,gold_len,gold_len_ci_low,gold_len_ci_high,length_delta,length_delta_ci_low,length_delta_ci_high,n_valid_candidates,n_valid_candidates_ci_low,n_valid_candidates_ci_high,n_unique_valid_candidates,n_unique_valid_candidates_ci_low,n_unique_valid_candidates_ci_high,selected_is_oracle,selected_is_oracle_ci_low,selected_is_oracle_ci_high,selected_is_greedy,selected_is_greedy_ci_low,selected_is_greedy_ci_high,gain_vs_greedy_exact_match,gain_vs_greedy_exact_match_ci_low,gain_vs_greedy_exact_match_ci_high,gain_vs_greedy_task_success,gain_vs_greedy_task_success_ci_low,gain_vs_greedy_task_success_ci_high,gain_vs_greedy_ordered_ratio,gain_vs_greedy_ordered_ratio_ci_low,gain_vs_greedy_ordered_ratio_ci_high,gain_vs_greedy_step_f1,gain_vs_greedy_step_f1_ci_low,gain_vs_greedy_step_f1_ci_high,gain_vs_greedy_step_accuracy,gain_vs_greedy_step_accuracy_ci_low,gain_vs_greedy_step_accuracy_ci_high,oracle_gap_exact_match,oracle_gap_exact_match_ci_low,oracle_gap_exact_match_ci_high,oracle_gap_task_success,oracle_gap_task_success_ci_low,oracle_gap_task_success_ci_high,oracle_gap_ordered_ratio,oracle_gap_ordered_ratio_ci_low,oracle_gap_ordered_ratio_ci_high,oracle_gap_step_f1,oracle_gap_step_f1_ci_low,oracle_gap_step_f1_ci_high,run_label,run_id
system1_critic_goal,goal_only,goal_only,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1439,0.074,0.2173,0.142,0.0741,0.2228,0.1439,0.0772,0.2124,0.1376,0.0737,0.2053,0.0842,0.0427,0.1243,0.0565,0.0166,0.1016,0.0921,0.0444,0.1414,5.6667,4.963,6.4074,4.4444,3.963,4.9259,1.2222,0.2593,2.2593,3.0,3.0,3.0,2.5185,2.2593,2.7407,0.4815,0.2963,0.6667,0.5556,0.3704,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0328,0.0086,-0.0185,0.04,0.0148,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.0053,0.0723,0.045,0.0165,0.0812,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation,goal_plus_interpretation,0,27,27,1,0.0,0.0,0.0,0.037,0.0,0.1111,0.4612,0.3677,0.5463,0.356,0.2768,0.428,0.4633,0.3818,0.5649,0.3956,0.3224,0.4815,0.2715,0.2035,0.3451,0.2809,0.2068,0.3627,0.3053,0.223,0.3817,6.2222,5.5917,6.8898,4.4444,4.0,4.9259,1.7778,1.0,2.6667,3.0,3.0,3.0,2.4074,2.1111,2.6667,0.4815,0.2963,0.6667,0.6296,0.4444,0.8148,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,-0.0148,0.0296,0.0114,-0.0099,0.0351,0.0296,0.0025,0.0661,0.0,0.0,0.0,0.037,0.0,0.1481,0.0479,0.0127,0.0945,0.042,0.0141,0.0763,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,1,0.0,0.0,0.0,0.1111,0.0,0.2222,0.3802,0.2654,0.5025,0.2467,0.1717,0.3281,0.3802,0.2685,0.5074,0.2869,0.2007,0.3705,0.1928,0.129,0.2626,0.1605,0.0772,0.2494,0.2103,0.1376,0.2923,5.1481,4.4074,6.0,3.4444,2.963,3.9259,1.7037,0.7769,2.6296,3.0,3.0,3.0,2.2963,1.9991,2.5926,0.5556,0.3704,0.7407,0.5185,0.3333,0.7037,0.0,0.0,0.0,0.037,0.0,0.1111,0.0568,-0.0093,0.1457,0.0432,-0.0091,0.1063,0.0272,-0.0074,0.0765,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0463,0.0275,0.0098,0.0528,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,1,0.0,0.0,0.0,0.1923,0.0385,0.3462,0.3718,0.2179,0.5192,0.2109,0.1359,0.2987,0.3718,0.2244,0.5256,0.2647,0.1667,0.3719,0.1832,0.1118,0.2594,0.149,0.0785,0.2237,0.1717,0.0986,0.2494,4.3077,3.6538,5.1163,2.5385,2.1144,3.0,1.7692,1.0769,2.5779,3.0,3.0,3.0,2.1154,1.8077,2.4231,0.6923,0.5385,0.8846,0.7692,0.6154,0.9231,0.0,0.0,0.0,0.0385,0.0,0.1154,0.0449,-0.0256,0.1538,0.0256,-0.0192,0.0929,0.0192,0.0,0.0577,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.1026,0.0313,0.0,0.074,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,1,0.0,0.0,0.0,0.35,0.15,0.55,0.5375,0.3666,0.7,0.2817,0.1941,0.3675,0.5375,0.3583,0.7167,0.3592,0.2431,0.4706,0.2505,0.1646,0.3393,0.1975,0.1075,0.2958,0.23,0.1366,0.3258,4.1,3.3,5.1,2.0,1.65,2.4,2.1,1.3,3.0,3.0,3.0,3.0,2.15,1.75,2.5,0.7,0.5,0.9,0.75,0.55,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0168,0.0,0.0422,0.0028,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.0,0.0762,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_greedy,goal_only,goal_only,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1312,0.0677,0.1988,0.1176,0.0586,0.1856,0.1497,0.0698,0.2445,0.1289,0.0595,0.2082,0.0821,0.0386,0.1369,0.0417,0.0053,0.0862,0.0769,0.0309,0.1309,6.0,5.2593,6.7407,4.4444,3.963,4.9259,1.5556,0.7407,2.3704,3.0,3.0,3.0,2.5185,2.2593,2.7407,0.4444,0.2593,0.6296,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,0.0148,0.0881,0.0537,0.0217,0.0881,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,1,0.0,0.0,0.0,0.037,0.0,0.1111,0.4538,0.3668,0.5387,0.3454,0.2747,0.4187,0.4559,0.3714,0.5423,0.3842,0.3142,0.462,0.2579,0.1971,0.3244,0.2513,0.1848,0.3177,0.2913,0.222,0.3642,6.2963,5.6657,7.037,4.4444,3.963,4.9259,1.8519,0.9991,2.6667,3.0,3.0,3.0,2.4074,2.1481,2.6667,0.5556,0.3704,0.7407,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.1111,0.0553,0.0166,0.1069,0.0533,0.0234,0.0902,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,1,0.0,0.0,0.0,0.0741,0.0,0.1852,0.3235,0.2148,0.4334,0.2128,0.1366,0.2979,0.3235,0.2203,0.4525,0.2437,0.1559,0.3314,0.1628,0.0991,0.2301,0.1333,0.0543,0.2204,0.1714,0.0955,0.2504,5.2593,4.7037,5.8528,3.4444,3.0,3.8889,1.8148,0.963,2.7037,3.0,3.0,3.0,2.2963,2.0,2.5926,0.5556,0.3704,0.7407,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.1111,0.0753,0.0167,0.1606,0.0707,0.0237,0.1317,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,1,0.0,0.0,0.0,0.1538,0.0385,0.3077,0.3269,0.1923,0.4647,0.1929,0.1179,0.2789,0.3269,0.189,0.4744,0.239,0.1444,0.3463,0.164,0.099,0.2373,0.1298,0.0596,0.2032,0.1538,0.0833,0.2332,4.5385,3.7692,5.3846,2.5385,2.1144,3.0,2.0,1.1923,3.0385,3.0,3.0,3.0,2.1154,1.7692,2.4231,0.7308,0.5769,0.8846,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.1154,0.0833,0.0128,0.1795,0.0569,0.0075,0.1232,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,1,0.0,0.0,0.0,0.35,0.15,0.55,0.525,0.35,0.6917,0.2664,0.1717,0.3622,0.525,0.3333,0.6917,0.3424,0.2243,0.4557,0.2406,0.1497,0.3323,0.1947,0.1097,0.2931,0.2272,0.1394,0.3239,4.25,3.4,5.3,2.0,1.6,2.4,2.25,1.3,3.35,3.0,3.0,3.0,2.15,1.75,2.5,0.8,0.6,0.95,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0449,0.0057,0.1007,plm_coin2_8b_galore_grounded,plm_coin2_8b_galore_grounded_coin2_eval
