run_label,config,condition_label,exact_match,task_success,ordered_ratio,step_f1,step_accuracy
plm_coin2_8b_galore_grounded,system1_critic_goal,goal_only,0.0,0.0,0.1439,0.1376,0.0565
plm_coin2_grounded,system1_critic_goal,goal_only,0.0,0.0,0.0148,0.0114,0.0
plm_coin2_8b_galore_grounded,system1_critic_goal,goal_plus_interpretation,0.0,0.037,0.4612,0.3956,0.2809
plm_coin2_grounded,system1_critic_goal,goal_plus_interpretation,0.0,0.0,0.0377,0.0315,0.0127
plm_coin2_8b_galore_grounded,system1_critic_goal,goal_plus_interpretation_prefix@1,0.0,0.1111,0.3802,0.2869,0.1605
plm_coin2_grounded,system1_critic_goal,goal_plus_interpretation_prefix@1,0.0,0.0,0.0093,0.0093,0.0093
plm_coin2_8b_galore_grounded,system1_critic_goal,goal_plus_interpretation_prefix@2,0.0,0.1923,0.3718,0.2647,0.149
plm_coin2_grounded,system1_critic_goal,goal_plus_interpretation_prefix@2,0.0,0.0,0.0128,0.0128,0.0128
plm_coin2_8b_galore_grounded,system1_critic_goal,goal_plus_interpretation_prefix@3,0.0,0.35,0.5375,0.3592,0.1975
plm_coin2_grounded,system1_critic_goal,goal_plus_interpretation_prefix@3,0.0,0.0,0.025,0.025,0.025
plm_coin2_8b_galore_grounded,system1_greedy,goal_only,0.0,0.0,0.1312,0.1289,0.0417
plm_coin2_grounded,system1_greedy,goal_only,0.0,0.0,0.0148,0.0114,0.0
plm_coin2_plain,system1_greedy,goal_only,0.0,0.0,0.0074,0.0082,0.0
plm_coin2_8b_galore_grounded,system1_greedy,goal_plus_interpretation,0.0,0.037,0.4538,0.3842,0.2513
plm_coin2_grounded,system1_greedy,goal_plus_interpretation,0.0,0.0,0.0377,0.031,0.0115
plm_coin2_plain,system1_greedy,goal_plus_interpretation,0.0,0.0,0.0148,0.0135,0.0041
plm_coin2_8b_galore_grounded,system1_greedy,goal_plus_interpretation_prefix@1,0.0,0.0741,0.3235,0.2437,0.1333
plm_coin2_grounded,system1_greedy,goal_plus_interpretation_prefix@1,0.0,0.0,0.0093,0.0093,0.0093
plm_coin2_plain,system1_greedy,goal_plus_interpretation_prefix@1,0.0,0.0,0.0093,0.0093,0.0093
plm_coin2_8b_galore_grounded,system1_greedy,goal_plus_interpretation_prefix@2,0.0,0.1538,0.3269,0.239,0.1298
plm_coin2_grounded,system1_greedy,goal_plus_interpretation_prefix@2,0.0,0.0,0.0128,0.0128,0.0128
plm_coin2_plain,system1_greedy,goal_plus_interpretation_prefix@2,0.0,0.0,0.0128,0.0096,0.0
plm_coin2_8b_galore_grounded,system1_greedy,goal_plus_interpretation_prefix@3,0.0,0.35,0.525,0.3424,0.1947
plm_coin2_grounded,system1_greedy,goal_plus_interpretation_prefix@3,0.0,0.0,0.025,0.025,0.025
plm_coin2_plain,system1_greedy,goal_plus_interpretation_prefix@3,0.0,0.0,0.025,0.0167,0.0
