config,condition_family,condition_label,prefix_len,n_samples,n_tasks,n_videos,exact_match,exact_match_ci_low,exact_match_ci_high,task_success,task_success_ci_low,task_success_ci_high,ordered_ratio,ordered_ratio_ci_low,ordered_ratio_ci_high,step_precision,step_precision_ci_low,step_precision_ci_high,step_recall,step_recall_ci_low,step_recall_ci_high,step_f1,step_f1_ci_low,step_f1_ci_high,step_iou,step_iou_ci_low,step_iou_ci_high,step_accuracy,step_accuracy_ci_low,step_accuracy_ci_high,edit_similarity,edit_similarity_ci_low,edit_similarity_ci_high,pred_len,pred_len_ci_low,pred_len_ci_high,gold_len,gold_len_ci_low,gold_len_ci_high,length_delta,length_delta_ci_low,length_delta_ci_high,n_valid_candidates,n_valid_candidates_ci_low,n_valid_candidates_ci_high,n_unique_valid_candidates,n_unique_valid_candidates_ci_low,n_unique_valid_candidates_ci_high,selected_is_oracle,selected_is_oracle_ci_low,selected_is_oracle_ci_high,selected_is_greedy,selected_is_greedy_ci_low,selected_is_greedy_ci_high,gain_vs_greedy_exact_match,gain_vs_greedy_exact_match_ci_low,gain_vs_greedy_exact_match_ci_high,gain_vs_greedy_task_success,gain_vs_greedy_task_success_ci_low,gain_vs_greedy_task_success_ci_high,gain_vs_greedy_ordered_ratio,gain_vs_greedy_ordered_ratio_ci_low,gain_vs_greedy_ordered_ratio_ci_high,gain_vs_greedy_step_f1,gain_vs_greedy_step_f1_ci_low,gain_vs_greedy_step_f1_ci_high,gain_vs_greedy_step_accuracy,gain_vs_greedy_step_accuracy_ci_low,gain_vs_greedy_step_accuracy_ci_high,oracle_gap_exact_match,oracle_gap_exact_match_ci_low,oracle_gap_exact_match_ci_high,oracle_gap_task_success,oracle_gap_task_success_ci_low,oracle_gap_task_success_ci_high,oracle_gap_ordered_ratio,oracle_gap_ordered_ratio_ci_low,oracle_gap_ordered_ratio_ci_high,oracle_gap_step_f1,oracle_gap_step_f1_ci_low,oracle_gap_step_f1_ci_high,run_label,run_id
system1_critic_goal,goal_only,goal_only,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.1704,0.0907,0.2624,0.1457,0.0771,0.221,0.1704,0.092,0.2599,0.1561,0.0815,0.2338,0.1011,0.0495,0.1606,0.0667,0.0148,0.1259,0.0981,0.0389,0.1704,5.8148,5.1472,6.6667,4.4444,4.037,4.9259,1.3704,0.5185,2.2963,3.0,3.0,3.0,2.1481,1.8148,2.4454,0.7037,0.5185,0.8519,0.6296,0.4444,0.8148,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,-0.0185,0.0568,0.0164,-0.0206,0.0566,0.0222,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0463,0.0206,0.0,0.0504,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation,goal_plus_interpretation,0,27,27,27,0.0,0.0,0.0,0.0741,0.0,0.1852,0.419,0.3117,0.5286,0.3246,0.2463,0.399,0.4211,0.3185,0.5179,0.3574,0.2699,0.4357,0.243,0.1767,0.3185,0.2337,0.1687,0.3013,0.2714,0.199,0.3502,5.6667,5.1111,6.2593,4.4444,3.9991,4.8889,1.2222,0.4815,2.0741,3.0,3.0,3.0,2.2593,1.8889,2.5556,0.5926,0.4074,0.7778,0.4815,0.2963,0.7037,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.0254,0.0511,-0.0009,-0.0387,0.0385,0.0075,-0.0097,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0411,0.0376,0.011,0.0717,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,27,0.0,0.0,0.0,0.1111,0.0,0.2593,0.3235,0.2055,0.4543,0.2235,0.1555,0.2976,0.3235,0.2049,0.4531,0.2563,0.174,0.3375,0.1689,0.1097,0.2363,0.1265,0.0647,0.1944,0.1833,0.1148,0.2574,4.2593,3.7778,4.7417,3.4444,3.0,3.9259,0.8148,0.1852,1.4074,3.0,3.0,3.0,2.037,1.7407,2.3333,0.5556,0.3704,0.7407,0.4444,0.2593,0.6296,0.0,0.0,0.0,0.037,0.0,0.1111,0.0389,-0.0414,0.1438,0.0141,-0.0516,0.0816,0.0235,-0.0124,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0568,0.021,0.0994,0.0653,0.0256,0.1116,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,26,0.0,0.0,0.0,0.1923,0.0385,0.3462,0.341,0.2095,0.4789,0.2481,0.1571,0.3423,0.341,0.2051,0.4898,0.2792,0.1839,0.3913,0.1957,0.1151,0.2733,0.1808,0.0897,0.2674,0.1808,0.0923,0.2757,3.6538,3.1154,4.2692,2.5385,2.0769,2.9615,1.1154,0.4615,1.7692,3.0,3.0,3.0,1.8462,1.5769,2.1538,0.6923,0.5,0.8846,0.7308,0.5385,0.8846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0385,0.0385,0.0089,-0.0171,0.0431,0.0128,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0168,0.0014,0.0435,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,20,0.0,0.0,0.0,0.25,0.1,0.45,0.425,0.25,0.5917,0.2875,0.1792,0.3918,0.425,0.2583,0.6,0.335,0.2033,0.465,0.2408,0.1433,0.3433,0.2292,0.125,0.3376,0.2292,0.125,0.3375,3.05,2.6488,3.55,2.0,1.65,2.4,1.05,0.55,1.6,3.0,3.0,3.0,1.6,1.35,1.85,0.8,0.6,0.95,0.9,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0158,0.0,0.0408,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_greedy,goal_only,goal_only,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.0593,0.2395,0.1302,0.0592,0.2105,0.1525,0.066,0.2469,0.1397,0.0663,0.232,0.0932,0.0354,0.1568,0.0444,0.0,0.1037,0.0852,0.0278,0.1519,5.7407,5.0,6.6667,4.4444,4.0,4.9259,1.2963,0.5176,2.2231,3.0,3.0,3.0,2.1481,1.8519,2.4444,0.7037,0.5185,0.8519,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364,0.0062,0.0728,0.037,0.0062,0.0753,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,27,0.0,0.0,0.0,0.0741,0.0,0.1852,0.407,0.3077,0.5064,0.3349,0.2564,0.4144,0.4112,0.3021,0.5168,0.3582,0.2734,0.4446,0.2429,0.178,0.3134,0.2262,0.163,0.2913,0.2689,0.1969,0.3502,5.6296,5.0741,6.1861,4.4444,3.963,4.8898,1.1852,0.3333,2.0,3.0,3.0,3.0,2.2593,1.963,2.5556,0.7407,0.5556,0.8889,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,0.0,0.0679,0.0368,0.0119,0.0684,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,27,0.0,0.0,0.0,0.0741,0.0,0.1852,0.2846,0.1728,0.4118,0.2247,0.1463,0.3074,0.2846,0.1747,0.4006,0.2421,0.1538,0.3394,0.1629,0.0983,0.2325,0.1031,0.0432,0.1691,0.1549,0.0772,0.2315,4.5185,3.9259,5.112,3.4444,3.0,3.8889,1.0741,0.2593,1.9259,3.0,3.0,3.0,2.037,1.7037,2.3333,0.6296,0.4444,0.8148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.1111,0.0957,0.0278,0.1883,0.0794,0.0343,0.1321,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,26,0.0,0.0,0.0,0.1923,0.0385,0.3462,0.341,0.2083,0.4757,0.2337,0.1506,0.325,0.341,0.2051,0.4679,0.2704,0.1708,0.3784,0.1899,0.1076,0.2741,0.1679,0.0814,0.2629,0.1728,0.0846,0.2661,3.7692,3.1538,4.4615,2.5385,2.1144,2.9615,1.2308,0.6913,1.8462,3.0,3.0,3.0,1.8462,1.5769,2.1538,0.6923,0.5385,0.8462,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0257,0.0047,0.0552,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,20,0.0,0.0,0.0,0.25,0.05,0.45,0.425,0.25,0.6,0.2875,0.175,0.3917,0.425,0.2583,0.6,0.335,0.2033,0.4617,0.2408,0.145,0.3442,0.2292,0.1292,0.3418,0.2292,0.125,0.3251,3.0,2.6,3.45,2.0,1.6487,2.4,1.0,0.5,1.5,3.0,3.0,3.0,1.6,1.35,1.85,0.9,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0158,0.0,0.0442,Perception-LM 8B (GaLore),plm_coin3_8b_galore_grounded_coin3_eval
